year,mean_temp,max_temp,min_temp,trend,seasonality,residual,residual_anomaly
1994,25.81,30.56,21.69,,0.1262799999999999,,0
1995,25.71,30.34,21.72,,0.11387999999999893,,0
1996,25.87,30.74,21.62,25.694000000000003,0.05828000000000049,0.11771999999999788,0
1997,25.39,30.0,21.43,25.712000000000003,-0.11038666666666624,-0.21161333333333648,0
1998,25.69,30.11,21.98,25.696,-0.18805333333333307,0.18205333333333285,0
1999,25.9,30.75,21.76,25.618000000000002,0.1262799999999999,0.15571999999999658,0
2000,25.63,30.24,21.56,25.698000000000004,0.11387999999999893,-0.18188000000000387,0
2001,25.48,30.1,21.47,25.694000000000003,0.05828000000000049,-0.2722800000000027,0
2002,25.79,30.52,21.73,25.692000000000004,-0.11038666666666624,0.20838666666666167,0
2003,25.67,30.33,21.74,25.796000000000003,-0.18805333333333307,0.06205333333333185,0
2004,25.89,30.69,21.78,25.948000000000004,0.1262799999999999,-0.18428000000000327,0
2005,26.15,30.92,22.19,25.946000000000005,0.11387999999999893,0.0901199999999946,0
2006,26.24,30.97,22.1,25.952000000000005,0.05828000000000049,0.22971999999999265,0
2007,25.78,30.39,21.81,26.088,-0.11038666666666624,-0.19761333333333359,0
2008,25.7,30.23,21.76,26.206,-0.18805333333333307,-0.31794666666666715,1
2009,26.57,31.48,22.3,26.144000000000002,0.1262799999999999,0.2997199999999985,0
2010,26.74,31.45,22.83,26.184,0.11387999999999893,0.44211999999999846,1
2011,25.93,30.57,21.88,26.162,0.05828000000000049,-0.2902799999999998,0
2012,25.98,30.76,21.95,26.048,-0.11038666666666624,0.042386666666668404,0
2013,25.59,30.33,21.51,25.910000000000004,-0.18805333333333307,-0.13194666666667076,0
2014,26.0,30.77,21.77,25.996000000000002,0.1262799999999999,-0.12228000000000211,0
2015,26.05,30.45,22.31,26.038000000000004,0.11387999999999893,-0.10188000000000202,0
2016,26.36,30.75,22.63,26.07,0.05828000000000049,0.23171999999999865,0
2017,26.19,30.61,22.55,26.062000000000005,-0.11038666666666624,0.2383866666666628,0
2018,25.75,30.4,21.86,26.012000000000004,-0.18805333333333307,-0.07394666666667093,0
2019,25.96,30.53,22.2,25.964000000000002,0.1262799999999999,-0.13028000000000123,0
2020,25.8,30.36,22.02,25.916,0.11387999999999893,-0.22987999999999859,0
2021,26.12,30.8,22.29,26.056,0.05828000000000049,0.005719999999999566,0
2022,25.95,30.83,22.08,26.118000000000002,-0.11038666666666624,-0.05761333333333657,0
2023,26.45,31.53,22.34,26.336000000000002,-0.18805333333333307,0.3020533333333303,0
2024,26.27,30.89,22.42,,0.1262799999999999,,0
2025,26.89,31.45,23.0,,0.11387999999999893,,0
